YYYY	MM	DD	hh	mm	TA
2002	6	29	0	0	6.2
2002	6	30	0	0	9.3
2002	7	1	0	0	8.1
2002	7	2	0	0	6.8
2002	7	3	0	0	6.0
2002	7	4	0	0	5.1
2002	7	5	0	0	10.3
2002	7	6	0	0	8.4
2002	7	7	0	0	10.6
2002	7	8	0	0	15.7
2002	7	9	0	0	16.2
2002	7	10	0	0	10.3
2002	7	11	0	0	11.6
2002	7	12	0	0	12.9
2002	7	13	0	0	9.5
2002	7	14	0	0	10.2
2002	7	15	0	0	10.9
2002	7	16	0	0	10.9
2002	7	17	0	0	9.4
2002	7	18	0	0	9.7
2002	7	19	0	0	10.0
2002	7	20	0	0	13.6
2002	7	21	0	0	12.3
2002	7	22	0	0	9.0
2002	7	23	0	0	12.1
2002	7	24	0	0	9.7
2002	7	25	0	0	9.2
2002	7	26	0	0	8.7
2002	7	27	0	0	12.8
2002	7	28	0	0	15.4
2002	7	29	0	0	16.4
2002	7	30	0	0	16.9
2002	7	31	0	0	12.4
2002	8	1	0	0	9.2
2002	8	2	0	0	11.4
2002	8	3	0	0	10.7
2002	8	4	0	0	9.3
2002	8	5	0	0	9.8
2002	8	6	0	0	8.8
2002	8	7	0	0	8.3
2002	8	8	0	0	9.9
2002	8	9	0	0	9.5
2002	8	10	0	0	7.0
2002	8	11	0	0	7.8
2002	8	12	0	0	7.5
2002	8	13	0	0	8.8
2002	8	14	0	0	10.8
2002	8	15	0	0	12.9
2002	8	16	0	0	13.9
2002	8	17	0	0	14.7
2002	8	18	0	0	15.5
2002	8	19	0	0	17.4
2002	8	20	0	0	14.5
2002	8	21	0	0	9.3
2002	8	22	0	0	10.1
2002	8	23	0	0	12.4
2002	8	24	0	0	12.8
2002	8	25	0	0	12.7
2002	8	26	0	0	14.1
2002	8	27	0	0	10.1
2002	8	28	0	0	11.0
2002	8	29	0	0	12.3
2002	8	30	0	0	13.6
2002	8	31	0	0	12.1
2002	9	1	0	0	8.7
2002	9	2	0	0	8.1
2002	9	3	0	0	8.2
2002	9	4	0	0	10.0
2002	9	5	0	0	9.8
2002	9	6	0	0	9.5
2002	9	7	0	0	10.4
2002	9	8	0	0	12.1
2002	9	9	0	0	11.8
2002	9	10	0	0	6.7
2002	9	11	0	0	5.7
2002	9	12	0	0	7.3
2002	9	13	0	0	6.4
2002	9	14	0	0	7.2
2002	9	15	0	0	6.2
2002	9	16	0	0	5.9
2002	9	17	0	0	8.7
2002	9	18	0	0	11.3
2002	9	19	0	0	10.4
2002	9	20	0	0	9.7
2002	9	21	0	0	7.9
2002	9	22	0	0	4.1
2002	9	23	0	0	0.8
2002	9	24	0	0	-1.4
2002	9	25	0	0	-2.0
2002	9	26	0	0	1.1
2002	9	27	0	0	2.3
2002	9	28	0	0	2.2
2002	9	29	0	0	2.7
2002	9	30	0	0	9.1
2002	10	1	0	0	10.8
2002	10	2	0	0	10.7
2002	10	3	0	0	8.2
2002	10	4	0	0	6.0
2002	10	5	0	0	3.4
2002	10	6	0	0	3.4
2002	10	7	0	0	1.5
2002	10	8	0	0	2.6
2002	10	9	0	0	7.9
2002	10	10	0	0	9.9
2002	10	11	0	0	4.4
2002	10	12	0	0	2.3
2002	10	13	0	0	2.3
2002	10	14	0	0	3.8
2002	10	15	0	0	7.7
2002	10	16	0	0	8.2
2002	10	17	0	0	2.6
2002	10	18	0	0	-1.0
2002	10	19	0	0	-1.6
2002	10	20	0	0	2.8
2002	10	21	0	0	7.7
2002	10	22	0	0	5.4
2002	10	23	0	0	2.4
2002	10	24	0	0	3.8
2002	10	25	0	0	5.1
2002	10	26	0	0	3.5
2002	10	27	0	0	5.6
2002	10	28	0	0	-0.1
2002	10	29	0	0	7.6
2002	10	30	0	0	7.6
2002	10	31	0	0	7.6
2002	11	1	0	0	5.5
2002	11	2	0	0	5.3
2002	11	3	0	0	5.1
2002	11	4	0	0	-0.1
2002	11	5	0	0	-0.6
2002	11	6	0	0	-1.4
2002	11	7	0	0	-2.7
2002	11	8	0	0	-4.1
2002	11	9	0	0	-0.3
2002	11	10	0	0	0.4
2002	11	11	0	0	3.0
2002	11	12	0	0	0.9
2002	11	13	0	0	2.5
2002	11	14	0	0	3.0
2002	11	15	0	0	3.2
2002	11	16	0	0	3.1
2002	11	17	0	0	1.9
2002	11	18	0	0	1.6
2002	11	19	0	0	0.2
2002	11	20	0	0	3.2
2002	11	21	0	0	5.7
2002	11	22	0	0	-0.7
2002	11	23	0	0	1.1
2002	11	24	0	0	2.4
2002	11	25	0	0	4.5
2002	11	26	0	0	0.1
2002	11	27	0	0	4.7
2002	11	28	0	0	5.4
2002	11	29	0	0	0.0
2002	11	30	0	0	-1.3
2002	12	1	0	0	-2.2
2002	12	2	0	0	-2.5
2002	12	3	0	0	-3.2
2002	12	4	0	0	-4.0
2002	12	5	0	0	-3.4
2002	12	6	0	0	-2.9
2002	12	7	0	0	-5.3
2002	12	8	0	0	-3.2
2002	12	9	0	0	-6.4
2002	12	10	0	0	-2.2
2002	12	11	0	0	2.8
2002	12	12	0	0	2.7
2002	12	13	0	0	-0.2
2002	12	14	0	0	1.8
2002	12	15	0	0	-0.5
2002	12	16	0	0	-0.7
2002	12	17	0	0	-2.0
2002	12	18	0	0	-4.4
2002	12	19	0	0	-0.4
2002	12	20	0	0	0.0
2002	12	21	0	0	1.6
2002	12	22	0	0	3.2
2002	12	23	0	0	4.1
2002	12	24	0	0	3.3
2002	12	25	0	0	2.4
2002	12	26	0	0	2.0
2002	12	27	0	0	6.1
2002	12	28	0	0	1.4
2002	12	29	0	0	0.0
2002	12	30	0	0	2.9
2002	12	31	0	0	0.1
2003	1	1	0	0	1.8
2003	1	2	0	0	3.5
2003	1	3	0	0	-0.9
2003	1	4	0	0	-2.9
2003	1	5	0	0	-9.9
2003	1	6	0	0	-10.8
2003	1	7	0	0	-12.7
2003	1	8	0	0	-12.7
2003	1	9	0	0	-6.3
2003	1	10	0	0	-13.5
2003	1	11	0	0	-14.3
2003	1	12	0	0	-9.9
2003	1	13	0	0	-5.6
2003	1	14	0	0	-2.3
2003	1	15	0	0	0.4
2003	1	16	0	0	-3.7
2003	1	17	0	0	-1.1
2003	1	18	0	0	-3.3
2003	1	19	0	0	-0.3
2003	1	20	0	0	-1.1
2003	1	21	0	0	-0.7
2003	1	22	0	0	-2.4
2003	1	23	0	0	-3.3
2003	1	24	0	0	-4.1
2003	1	25	0	0	-4.8
2003	1	26	0	0	-4.6
2003	1	27	0	0	0.0
2003	1	28	0	0	-2.5
2003	1	29	0	0	-6.3
2003	1	30	0	0	-8.1
2003	1	31	0	0	-12.4
2003	2	1	0	0	-12.9
2003	2	2	0	0	-8.2
2003	2	3	0	0	-3.5
2003	2	4	0	0	-7.4
2003	2	5	0	0	-8.5
2003	2	6	0	0	-8.4
2003	2	7	0	0	-7.3
2003	2	8	0	0	-3.1
2003	2	9	0	0	-4.6
2003	2	10	0	0	-4.1
2003	2	11	0	0	-3.7
2003	2	12	0	0	-6.5
2003	2	13	0	0	-8.1
2003	2	14	0	0	-8.3
2003	2	15	0	0	-10.6
2003	2	16	0	0	-11.7
2003	2	17	0	0	-12.7
2003	2	18	0	0	-8.9
2003	2	19	0	0	-3.9
2003	2	20	0	0	1.5
2003	2	21	0	0	1.9
2003	2	22	0	0	1.5
2003	2	23	0	0	0.2
2003	2	24	0	0	1.1
2003	2	25	0	0	3.9
2003	2	26	0	0	5.3
2003	2	27	0	0	2.2
2003	2	28	0	0	1.4
2003	3	1	0	0	1.1
2003	3	2	0	0	-0.9
2003	3	3	0	0	-3.5
2003	3	4	0	0	-2.4
2003	3	5	0	0	3.3
2003	3	6	0	0	1.0
2003	3	7	0	0	-3.0
2003	3	8	0	0	-2.2
2003	3	9	0	0	2.4
2003	3	10	0	0	6.3
2003	3	11	0	0	7.1
2003	3	12	0	0	1.4
2003	3	13	0	0	-3.4
2003	3	14	0	0	-6.3
2003	3	15	0	0	-5.5
2003	3	16	0	0	-4.6
2003	3	17	0	0	1.4
2003	3	18	0	0	-1.2
2003	3	19	0	0	1.9
2003	3	20	0	0	2.6
2003	3	21	0	0	0.8
2003	3	22	0	0	1.2
2003	3	23	0	0	5.0
2003	3	24	0	0	5.9
2003	3	25	0	0	6.4
2003	3	26	0	0	6.1
2003	3	27	0	0	7.1
2003	3	28	0	0	7.2
2003	3	29	0	0	6.5
2003	3	30	0	0	5.2
2003	3	31	0	0	3.3
2003	4	1	0	0	5.1
2003	4	2	0	0	-3.2
2003	4	3	0	0	-5.1
2003	4	4	0	0	-5.1
2003	4	5	0	0	-5.1
2003	4	6	0	0	-5.0
2003	4	7	0	0	-4.9
2003	4	8	0	0	-4.9
2003	4	9	0	0	-4.8
2003	4	10	0	0	-5.4
2003	4	11	0	0	-4.2
2003	4	12	0	0	-0.2
2003	4	13	0	0	3.2
2003	4	14	0	0	7.2
2003	4	15	0	0	8.7
2003	4	16	0	0	7.9
2003	4	17	0	0	6.7
2003	4	18	0	0	4.5
2003	4	19	0	0	-1.5
2003	4	20	0	0	5.9
2003	4	21	0	0	5.0
2003	4	22	0	0	4.8
2003	4	23	0	0	5.5
2003	4	24	0	0	8.4
2003	4	25	0	0	11.3
2003	4	26	0	0	6.7
2003	4	27	0	0	3.0
2003	4	28	0	0	9.7
2003	4	29	0	0	8.2
2003	4	30	0	0	7.2
2003	5	1	0	0	4.3
2003	5	2	0	0	6.3
2003	5	3	0	0	4.1
2003	5	4	0	0	12.6
2003	5	5	0	0	17.2
2003	5	6	0	0	13.5
2003	5	7	0	0	13.3
2003	5	8	0	0	12.0
2003	5	9	0	0	7.9
2003	5	10	0	0	6.5
2003	5	11	0	0	8.4
2003	5	12	0	0	6.9
2003	5	13	0	0	2.0
2003	5	14	0	0	-1.5
2003	5	15	0	0	0.6
2003	5	16	0	0	5.6
2003	5	17	0	0	5.2
2003	5	18	0	0	6.9
2003	5	19	0	0	8.1
2003	5	20	0	0	2.1
2003	5	21	0	0	1.1
2003	5	22	0	0	4.5
2003	5	23	0	0	10.5
2003	5	24	0	0	13.7
2003	5	25	0	0	4.9
2003	5	26	0	0	5.5
2003	5	27	0	0	8.9
2003	5	28	0	0	10.5
2003	5	29	0	0	11.2
2003	5	30	0	0	13.5
2003	5	31	0	0	14.2
2003	6	1	0	0	14.8
2003	6	2	0	0	14.1
2003	6	3	0	0	15.0
2003	6	4	0	0	16.4
2003	6	5	0	0	15.7
2003	6	6	0	0	13.4
2003	6	7	0	0	15.1
2003	6	8	0	0	15.4
2003	6	9	0	0	13.9
2003	6	10	0	0	18.0
2003	6	11	0	0	17.7
2003	6	12	0	0	20.2
2003	6	13	0	0	16.9
2003	6	14	0	0	17.4
2003	6	15	0	0	15.6
2003	6	16	0	0	14.8
2003	6	17	0	0	15.6
2003	6	18	0	0	10.1
2003	6	19	0	0	11.7
2003	6	20	0	0	12.1
2003	6	21	0	0	12.0
2003	6	22	0	0	19.2
2003	6	23	0	0	19.9
2003	6	24	0	0	16.6
2003	6	25	0	0	17.0
2003	6	26	0	0	15.5
2003	6	27	0	0	13.0
2003	6	28	0	0	12.5
2003	6	29	0	0	16.0
2003	6	30	0	0	18.2
2003	7	1	0	0	7.4
2003	7	2	0	0	8.0
2003	7	3	0	0	6.7
2003	7	4	0	0	6.0
2003	7	5	0	0	7.3
2003	7	6	0	0	9.7
2003	7	7	0	0	12.2
2003	7	8	0	0	13.0
2003	7	9	0	0	13.4
2003	7	10	0	0	13.7
2003	7	11	0	0	15.1
2003	7	12	0	0	15.4
2003	7	13	0	0	15.3
2003	7	14	0	0	15.8
2003	7	15	0	0	19.4
2003	7	16	0	0	18.3
2003	7	17	0	0	11.0
2003	7	18	0	0	12.5
2003	7	19	0	0	17.2
2003	7	20	0	0	21.0
2003	7	21	0	0	16.1
2003	7	22	0	0	15.6
2003	7	23	0	0	15.1
2003	7	24	0	0	12.3
2003	7	25	0	0	13.1
2003	7	26	0	0	14.9
2003	7	27	0	0	14.0
2003	7	28	0	0	10.1
2003	7	29	0	0	11.7
2003	7	30	0	0	12.9
2003	7	31	0	0	10.7
2003	8	1	0	0	14.2
2003	8	2	0	0	17.4
2003	8	3	0	0	20.4
2003	8	4	0	0	22.2
2003	8	5	0	0	22.7
2003	8	6	0	0	22.2
2003	8	7	0	0	22.4
2003	8	8	0	0	22.3
2003	8	9	0	0	22.9
2003	8	10	0	0	22.6
2003	8	11	0	0	20.9
2003	8	12	0	0	22.4
2003	8	13	0	0	23.0
2003	8	14	0	0	18.5
2003	8	15	0	0	14.9
2003	8	16	0	0	16.7
2003	8	17	0	0	17.5
2003	8	18	0	0	13.7
2003	8	19	0	0	13.8
2003	8	20	0	0	15.2
2003	8	21	0	0	14.5
2003	8	22	0	0	15.3
2003	8	23	0	0	16.1
2003	8	24	0	0	15.8
2003	8	25	0	0	15.1
2003	8	26	0	0	15.5
2003	8	27	0	0	14.8
2003	8	28	0	0	16.1
2003	8	29	0	0	10.6
2003	8	30	0	0	8.2
2003	8	31	0	0	5.2
2003	9	1	0	0	4.9
2003	9	2	0	0	4.3
2003	9	3	0	0	5.5
2003	9	4	0	0	9.9
2003	9	5	0	0	12.7
2003	9	6	0	0	9.7
2003	9	7	0	0	10.7
2003	9	8	0	0	7.4
2003	9	9	0	0	7.7
2003	9	10	0	0	6.5
2003	9	11	0	0	5.3
2003	9	12	0	0	6.2
2003	9	13	0	0	6.7
2003	9	14	0	0	6.0
2003	9	15	0	0	9.8
2003	9	16	0	0	12.9
2003	9	17	0	0	14.2
2003	9	18	0	0	15.6
2003	9	19	0	0	16.4
2003	9	20	0	0	17.7
2003	9	21	0	0	15.6
2003	9	22	0	0	13.9
2003	9	23	0	0	5.7
2003	9	24	0	0	2.5
2003	9	25	0	0	8.6
2003	9	26	0	0	10.7
2003	9	27	0	0	9.7
2003	9	28	0	0	7.3
2003	9	29	0	0	3.3
2003	9	30	0	0	6.7
2003	10	1	0	0	10.5
2003	10	2	0	0	12.1
2003	10	3	0	0	9.2
2003	10	4	0	0	4.7
2003	10	5	0	0	-1.0
2003	10	6	0	0	-0.5
2003	10	7	0	0	0.1
2003	10	8	0	0	2.4
2003	10	9	0	0	4.6
2003	10	10	0	0	4.1
2003	10	11	0	0	5.3
2003	10	12	0	0	6.9
2003	10	13	0	0	8.8
2003	10	14	0	0	3.4
2003	10	15	0	0	0.1
2003	10	16	0	0	0.6
2003	10	17	0	0	2.5
2003	10	18	0	0	5.4
2003	10	19	0	0	4.7
2003	10	20	0	0	2.6
2003	10	21	0	0	-2.2
2003	10	22	0	0	-3.1
2003	10	23	0	0	-4.3
2003	10	24	0	0	-7.2
2003	10	25	0	0	-6.2
2003	10	26	0	0	-5.0
2003	10	27	0	0	-4.4
2003	10	28	0	0	1.6
2003	10	29	0	0	0.6
2003	10	30	0	0	-2.5
2003	10	31	0	0	3.3
2003	11	1	0	0	0.6
2003	11	2	0	0	0.3
2003	11	3	0	0	2.7
2003	11	4	0	0	3.1
2003	11	5	0	0	8.6
2003	11	6	0	0	8.6
2003	11	7	0	0	-3.1
2003	11	8	0	0	1.3
2003	11	9	0	0	7.2
2003	11	10	0	0	6.4
2003	11	11	0	0	5.2
2003	11	12	0	0	3.7
2003	11	13	0	0	0.4
2003	11	14	0	0	0.0
2003	11	15	0	0	1.1
2003	11	16	0	0	4.0
2003	11	17	0	0	-2.1
2003	11	18	0	0	3.0
2003	11	19	0	0	9.9
2003	11	20	0	0	8.7
2003	11	21	0	0	8.6
2003	11	22	0	0	7.8
2003	11	23	0	0	9.4
2003	11	24	0	0	7.2
2003	11	25	0	0	3.7
2003	11	26	0	0	1.9
2003	11	27	0	0	-0.2
2003	11	28	0	0	-3.1
2003	11	29	0	0	-1.4
2003	11	30	0	0	2.8
2003	12	1	0	0	6.7
2003	12	2	0	0	7.8
2003	12	3	0	0	5.7
2003	12	4	0	0	7.0
2003	12	5	0	0	5.8
2003	12	6	0	0	1.1
2003	12	7	0	0	-8.2
2003	12	8	0	0	1.6
2003	12	9	0	0	4.2
2003	12	10	0	0	-0.8
2003	12	11	0	0	-1.5
2003	12	12	0	0	0.8
2003	12	13	0	0	3.1
2003	12	14	0	0	-1.1
2003	12	15	0	0	-5.9
2003	12	16	0	0	-7.1
2003	12	17	0	0	-3.8
2003	12	18	0	0	0.9
2003	12	19	0	0	0.1
2003	12	20	0	0	0.3
2003	12	21	0	0	-2.4
2003	12	22	0	0	-7.5
2003	12	23	0	0	-10.1
2003	12	24	0	0	-5.9
2003	12	25	0	0	1.1
2003	12	26	0	0	4.5
2003	12	27	0	0	0.3
2003	12	28	0	0	-1.6
2003	12	29	0	0	-6.9
2003	12	30	0	0	-5.4
2003	12	31	0	0	-6.9
2004	1	1	0	0	-7.6
2004	1	2	0	0	-8.2
2004	1	3	0	0	-10.4
2004	1	4	0	0	-8.6
2004	1	5	0	0	-5.3
2004	1	6	0	0	-1.3
2004	1	7	0	0	0.7
2004	1	8	0	0	1.7
2004	1	9	0	0	-1.4
2004	1	10	0	0	-2.6
2004	1	11	0	0	2.0
2004	1	12	0	0	-0.2
2004	1	13	0	0	2.4
2004	1	14	0	0	-3.3
2004	1	15	0	0	-5.6
2004	1	16	0	0	-3.4
2004	1	17	0	0	-3.4
2004	1	18	0	0	-5.6
2004	1	19	0	0	-7.5
2004	1	20	0	0	-3.6
2004	1	21	0	0	-6.8
2004	1	22	0	0	-8.7
2004	1	23	0	0	-3.8
2004	1	24	0	0	-2.6
2004	1	25	0	0	-6.0
2004	1	26	0	0	-6.1
2004	1	27	0	0	-7.3
2004	1	28	0	0	-9.1
2004	1	29	0	0	-9.9
2004	1	30	0	0	-7.7
2004	1	31	0	0	-0.4
2004	2	1	0	0	0.9
2004	2	2	0	0	2.2
2004	2	3	0	0	4.8
2004	2	4	0	0	8.0
2004	2	5	0	0	6.6
2004	2	6	0	0	6.6
2004	2	7	0	0	-0.4
2004	2	8	0	0	-4.6
2004	2	9	0	0	-7.9
2004	2	10	0	0	-6.4
2004	2	11	0	0	-4.1
2004	2	12	0	0	-3.9
2004	2	13	0	0	-0.5
2004	2	14	0	0	0.3
2004	2	15	0	0	-4.4
2004	2	16	0	0	-3.5
2004	2	17	0	0	-2.9
2004	2	18	0	0	-6.4
2004	2	19	0	0	-8.1
2004	2	20	0	0	-3.1
2004	2	21	0	0	5.7
2004	2	22	0	0	3.1
2004	2	23	0	0	-8.6
2004	2	24	0	0	-9.9
2004	2	25	0	0	-8.4
2004	2	26	0	0	-9.3
2004	2	27	0	0	-10.5
2004	2	28	0	0	-10.0
2004	2	29	0	0	-10.2
2004	3	1	0	0	-11.1
2004	3	2	0	0	-8.0
2004	3	3	0	0	-5.4
2004	3	4	0	0	-1.2
2004	3	5	0	0	-1.5
2004	3	6	0	0	-3.3
2004	3	7	0	0	-5.2
2004	3	8	0	0	-5.8
2004	3	9	0	0	-8.5
2004	3	10	0	0	-8.5
2004	3	11	0	0	-7.7
2004	3	12	0	0	-1.6
2004	3	13	0	0	0.3
2004	3	14	0	0	-0.2
2004	3	15	0	0	3.1
2004	3	16	0	0	7.7
2004	3	17	0	0	11.6
2004	3	18	0	0	10.7
2004	3	19	0	0	3.1
2004	3	20	0	0	3.5
2004	3	21	0	0	0.5
2004	3	22	0	0	-3.6
2004	3	23	0	0	-4.3
2004	3	24	0	0	-4.6
2004	3	25	0	0	-5.4
2004	3	26	0	0	-8.1
2004	3	27	0	0	-7.4
2004	3	28	0	0	-2.4
2004	3	29	0	0	1.6
2004	3	30	0	0	4.4
2004	3	31	0	0	6.3
2004	4	1	0	0	6.4
2004	4	2	0	0	7.3
2004	4	3	0	0	1.9
2004	4	4	0	0	1.3
2004	4	5	0	0	-1.0
2004	4	6	0	0	-2.9
2004	4	7	0	0	-4.4
2004	4	8	0	0	-3.6
2004	4	9	0	0	-3.3
2004	4	10	0	0	-3.0
2004	4	11	0	0	-1.9
2004	4	12	0	0	-1.5
2004	4	13	0	0	-1.0
2004	4	14	0	0	-0.4
2004	4	15	0	0	3.3
2004	4	16	0	0	5.8
2004	4	17	0	0	4.6
2004	4	18	0	0	2.0
2004	4	19	0	0	-2.4
2004	4	20	0	0	1.1
2004	4	21	0	0	6.8
2004	4	22	0	0	10.0
2004	4	23	0	0	5.1
2004	4	24	0	0	1.8
2004	4	25	0	0	1.0
2004	4	26	0	0	3.2
2004	4	27	0	0	7.5
2004	4	28	0	0	7.7
2004	4	29	0	0	8.0
2004	4	30	0	0	8.1
2004	5	1	0	0	4.2
2004	5	2	0	0	5.1
2004	5	3	0	0	6.3
2004	5	4	0	0	5.1
2004	5	5	0	0	-0.9
2004	5	6	0	0	-1.0
2004	5	7	0	0	-1.3
2004	5	8	0	0	-1.5
2004	5	9	0	0	-1.5
2004	5	10	0	0	2.0
2004	5	11	0	0	5.7
2004	5	12	0	0	5.0
2004	5	13	0	0	1.2
2004	5	14	0	0	3.0
2004	5	15	0	0	5.8
2004	5	16	0	0	5.9
2004	5	17	0	0	9.1
2004	5	18	0	0	12.5
2004	5	19	0	0	11.3
2004	5	20	0	0	12.9
2004	5	21	0	0	7.0
2004	5	22	0	0	0.5
2004	5	23	0	0	0.0
2004	5	24	0	0	2.8
2004	5	25	0	0	6.9
2004	5	26	0	0	9.0
2004	5	27	0	0	5.2
2004	5	28	0	0	5.2
2004	5	29	0	0	6.8
2004	5	30	0	0	9.8
2004	5	31	0	0	6.5
2004	6	1	0	0	5.6
2004	6	2	0	0	6.4
2004	6	3	0	0	5.5
2004	6	4	0	0	7.0
2004	6	5	0	0	5.3
2004	6	6	0	0	6.7
2004	6	7	0	0	12.1
2004	6	8	0	0	16.8
2004	6	9	0	0	18.2
2004	6	10	0	0	17.6
2004	6	11	0	0	11.0
2004	6	12	0	0	7.0
2004	6	13	0	0	4.5
2004	6	14	0	0	7.7
2004	6	15	0	0	9.6
2004	6	16	0	0	8.5
2004	6	17	0	0	10.4
2004	6	18	0	0	8.4
2004	6	19	0	0	5.6
2004	6	20	0	0	4.9
2004	6	21	0	0	6.5
2004	6	22	0	0	8.1
2004	6	23	0	0	10.2
2004	6	24	0	0	8.7
2004	6	25	0	0	7.1
2004	6	26	0	0	11.2
2004	6	27	0	0	15.2
2004	6	28	0	0	11.6
2004	6	29	0	0	9.8
2004	6	30	0	0	13.6
2004	7	1	0	0	9.9
2004	7	2	0	0	6.8
2004	7	3	0	0	6.6
2004	7	4	0	0	10.7
2004	7	5	0	0	11.0
2004	7	6	0	0	9.6
2004	7	7	0	0	14.0
2004	7	8	0	0	10.1
2004	7	9	0	0	5.6
2004	7	10	0	0	4.3
2004	7	11	0	0	4.1
2004	7	12	0	0	4.5
2004	7	13	0	0	5.0
2004	7	14	0	0	8.1
2004	7	15	0	0	10.3
2004	7	16	0	0	14.3
2004	7	17	0	0	15.3
2004	7	18	0	0	14.5
2004	7	19	0	0	13.9
2004	7	20	0	0	14.3
2004	7	21	0	0	15.7
2004	7	22	0	0	17.0
2004	7	23	0	0	17.6
2004	7	24	0	0	12.2
2004	7	25	0	0	11.7
2004	7	26	0	0	8.0
2004	7	27	0	0	8.5
2004	7	28	0	0	10.4
2004	7	29	0	0	14.0
2004	7	30	0	0	16.1
2004	7	31	0	0	17.0
2004	8	1	0	0	17.8
2004	8	2	0	0	17.4
2004	8	3	0	0	17.3
2004	8	4	0	0	15.3
2004	8	5	0	0	15.3
2004	8	6	0	0	14.1
2004	8	7	0	0	15.0
2004	8	8	0	0	16.6
2004	8	9	0	0	17.5
2004	8	10	0	0	15.9
2004	8	11	0	0	14.1
2004	8	12	0	0	13.6
2004	8	13	0	0	8.3
2004	8	14	0	0	8.0
2004	8	15	0	0	11.4
2004	8	16	0	0	13.0
2004	8	17	0	0	11.8
2004	8	18	0	0	14.7
2004	8	19	0	0	11.0
2004	8	20	0	0	9.4
2004	8	21	0	0	5.7
2004	8	22	0	0	7.9
2004	8	23	0	0	13.5
2004	8	24	0	0	10.0
2004	8	25	0	0	7.0
2004	8	26	0	0	6.5
2004	8	27	0	0	8.2
2004	8	28	0	0	9.4
2004	8	29	0	0	9.6
2004	8	30	0	0	7.9
2004	8	31	0	0	6.4
2004	9	1	0	0	8.8
2004	9	2	0	0	13.4
2004	9	3	0	0	14.7
2004	9	4	0	0	14.6
2004	9	5	0	0	14.0
2004	9	6	0	0	14.1
2004	9	7	0	0	13.4
2004	9	8	0	0	12.6
2004	9	9	0	0	11.8
2004	9	10	0	0	15.2
2004	9	11	0	0	12.9
2004	9	12	0	0	8.2
2004	9	13	0	0	9.0
2004	9	14	0	0	9.5
2004	9	15	0	0	5.6
2004	9	16	0	0	4.8
2004	9	17	0	0	7.7
2004	9	18	0	0	11.2
2004	9	19	0	0	8.7
2004	9	20	0	0	6.7
2004	9	21	0	0	4.9
2004	9	22	0	0	5.7
2004	9	23	0	0	6.5
2004	9	24	0	0	1.4
2004	9	25	0	0	1.9
2004	9	26	0	0	2.2
2004	9	27	0	0	4.8
2004	9	28	0	0	6.7
2004	9	29	0	0	6.9
2004	9	30	0	0	8.5
2004	10	1	0	0	8.5
2004	10	2	0	0	6.8
2004	10	3	0	0	7.8
2004	10	4	0	0	12.5
2004	10	5	0	0	14.9
2004	10	6	0	0	10.0
2004	10	7	0	0	7.6
2004	10	8	0	0	9.2
2004	10	9	0	0	9.0
2004	10	10	0	0	5.8
2004	10	11	0	0	4.4
2004	10	12	0	0	8.0
2004	10	13	0	0	6.4
2004	10	14	0	0	3.5
2004	10	15	0	0	0.5
2004	10	16	0	0	-1.5
2004	10	17	0	0	-0.7
2004	10	18	0	0	1.3
2004	10	19	0	0	4.4
2004	10	20	0	0	10.0
2004	10	21	0	0	7.8
2004	10	22	0	0	8.6
2004	10	23	0	0	9.4
2004	10	24	0	0	12.5
2004	10	25	0	0	7.2
2004	10	26	0	0	1.8
2004	10	27	0	0	4.3
2004	10	28	0	0	7.8
2004	10	29	0	0	6.6
2004	10	30	0	0	3.2
2004	10	31	0	0	3.0
2004	11	1	0	0	3.6
2004	11	2	0	0	8.8
2004	11	3	0	0	10.5
2004	11	4	0	0	9.2
2004	11	5	0	0	3.1
2004	11	6	0	0	-1.6
2004	11	7	0	0	-2.2
2004	11	8	0	0	-4.4
2004	11	9	0	0	-6.8
2004	11	10	0	0	-5.9
2004	11	11	0	0	-4.0
2004	11	12	0	0	5.4
2004	11	13	0	0	-4.0
2004	11	14	0	0	-7.4
2004	11	15	0	0	-4.5
2004	11	16	0	0	-2.7
2004	11	17	0	0	-1.0
2004	11	18	0	0	-0.8
2004	11	19	0	0	-4.5
2004	11	20	0	0	-7.7
2004	11	21	0	0	-4.5
2004	11	22	0	0	0.7
2004	11	23	0	0	0.8
2004	11	24	0	0	1.4
2004	11	25	0	0	4.7
2004	11	26	0	0	0.1
2004	11	27	0	0	-0.3
2004	11	28	0	0	-0.3
2004	11	29	0	0	-1.0
2004	11	30	0	0	-2.8
2004	12	1	0	0	-2.8
2004	12	2	0	0	1.0
2004	12	3	0	0	0.1
2004	12	4	0	0	-0.4
2004	12	5	0	0	-0.5
2004	12	6	0	0	2.1
2004	12	7	0	0	6.1
2004	12	8	0	0	4.6
2004	12	9	0	0	8.8
2004	12	10	0	0	8.9
2004	12	11	0	0	7.7
2004	12	12	0	0	5.4
2004	12	13	0	0	4.9
2004	12	14	0	0	4.0
2004	12	15	0	0	3.2
2004	12	16	0	0	0.9
2004	12	17	0	0	-2.2
2004	12	18	0	0	-6.1
2004	12	19	0	0	-4.2
2004	12	20	0	0	-9.4
2004	12	21	0	0	-9.7
2004	12	22	0	0	-9.3
2004	12	23	0	0	-1.7
2004	12	24	0	0	-0.3
2004	12	25	0	0	-1.9
2004	12	26	0	0	-5.1
2004	12	27	0	0	-5.9
2004	12	28	0	0	-7.1
2004	12	29	0	0	-6.4
