YYYY	MM	DD	hh	mm	PET	R_R0
2016	1	1	0	0	0.041647468	0
2016	1	2	0	0	0.048792866000000004	0
2016	1	3	0	0	0.25414017299999997	0
2016	1	4	0	0	0.112397447	0
2016	1	5	0	0	0.46646775	0
2016	1	6	0	0	0.299420609	0
2016	1	7	0	0	0.075796623	0
2016	1	8	0	0	0.051008608000000004	0
2016	1	9	0	0	0.056649936000000005	0
2016	1	10	0	0	0.069101445	0
2016	1	11	0	0	0.334125532	0
2016	1	12	0	0	0.5545126579999998	0
2016	1	13	0	0	0.39685243200000003	0
2016	1	14	0	0	0.18767183799999998	0
2016	1	15	0	0	0.7379470670000001	0
2016	1	16	0	0	0.284664983	0
2016	1	17	0	0	0.265791498	0
2016	1	18	0	0	0.34155130400000006	0
2016	1	19	0	0	0.033904204	0
2016	1	20	0	0	0.162206554	0
2016	1	21	0	0	0.396271327	0
2016	1	22	0	0	0.49291437000000005	0
2016	1	23	0	0	0.430916653	0
2016	1	24	0	0	0.182437054	0
2016	1	25	0	0	0.623784158	0
2016	1	26	0	0	0.545922025	0
2016	1	27	0	0	0.5112245759999999	0
2016	1	28	0	0	0.41882298300000004	0
2016	1	29	0	0	0.39660405000000004	0
2016	1	30	0	0	0.9120736890000001	0
2016	1	31	0	0	0.251322944	0
2016	2	1	0	0	1.062822131	0
2016	2	2	0	0	0.924389284	0
2016	2	3	0	0	0.28789475700000006	0
2016	2	4	0	0	0.459652823	0
2016	2	5	0	0	0.46939447799999995	0
2016	2	6	0	0	0.740798445	0
2016	2	7	0	0	0.3384238970000001	0
2016	2	8	0	0	1.427552908	0
2016	2	9	0	0	0.40944058400000005	0
2016	2	10	0	0	0.7532298070000001	0
2016	2	11	0	0	0.914224811	0
2016	2	12	0	0	0.573463132	0
2016	2	13	0	0	0.5143956439999999	0
2016	2	14	0	0	0.243823606	0
2016	2	15	0	0	0.16665846	0
2016	2	16	0	0	0.27556959900000005	0
2016	2	17	0	0	0.12305407699999998	0
2016	2	18	0	0	0.9222058060000001	0
2016	2	19	0	0	0.376791185	0
2016	2	20	0	0	0.429756127	0
2016	2	21	0	0	1.686499955	0
2016	2	22	0	0	1.530696035	0
2016	2	23	0	0	0.5783672059999998	0
2016	2	24	0	0	0.46586561399999993	0
2016	2	25	0	0	0.247072783	0
2016	2	26	0	0	1.023902036	0
2016	2	27	0	0	0.7352397239999999	0
2016	2	28	0	0	0.675976074	0
2016	2	29	0	0	0.061341523	0
2016	3	1	0	0	0.47243225699999997	0
2016	3	2	0	0	0.384636271	0
2016	3	3	0	0	0.42908637499999996	0
2016	3	4	0	0	0.506580717	0
2016	3	5	0	0	0.060863005000000005	0
2016	3	6	0	0	0.8128040759999999	0
2016	3	7	0	0	1.1049214649999999	0
2016	3	8	0	0	0.418265541	0
2016	3	9	0	0	1.128601173	0
2016	3	10	0	0	1.546834426	0
2016	3	11	0	0	1.1622204619999998	0
2016	3	12	0	0	0.343062656	0
2016	3	13	0	0	1.021888146	0
2016	3	14	0	0	0.7698812189999998	0
2016	3	15	0	0	0.867810579	0
